Manuf,Model,Type,Origin,DriveTrain,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,MSRP
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,3.2,6,290,17,24,3153,100,174,89765
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,3.5,6,225,18,24,3893,115,197,46100
Acura,3.5 RL 4dr,Sedan,Asia,Front,3.5,6,225,18,24,3880,115,197,43755
Acura,MDX,SUV,Asia,All,3.5,6,265,17,23,4451,106,189,36945
Acura,TL 4dr,Sedan,Asia,Front,3.2,6,270,20,28,3575,108,186,33195
Acura,TSX 4dr,Sedan,Asia,Front,2.4,4,200,22,29,3230,105,183,26990
Acura,RSX Type S 2dr,Sedan,Asia,Front,2,4,200,24,31,2778,101,172,23820
Audi,RS 6 4dr,Sports,Europe,Front,4.2,8,450,15,22,4024,109,191,84600
Audi,A8 L Quattro 4dr,Sedan,Europe,All,4.2,8,330,17,24,4399,121,204,69190
Audi,A6 4.2 Quattro 4dr,Sedan,Europe,All,4.2,8,300,17,24,4024,109,193,49690
Audi,S4 Avant Quattro,Wagon,Europe,All,4.2,8,340,15,21,3936,104,179,49090
Audi,S4 Quattro 4dr,Sedan,Europe,All,4.2,8,340,14,20,3825,104,179,48040
Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,All,3,6,220,18,25,4013,105,180,44240
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,2.7,6,250,18,25,3836,109,192,42840
Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,3,6,220,20,27,3814,105,180,42490
Audi,A6 3.0 Avant Quattro,Wagon,Europe,All,3,6,220,18,25,4035,109,192,40840
Audi,TT 3.2 coupe 2dr (convertible),Sports,Europe,All,3.2,6,250,21,29,3351,96,159,40590
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,3,6,220,18,25,3880,109,192,39640
Audi,TT 1.8 Quattro 2dr (convertible),Sports,Europe,All,1.8,4,225,20,28,2921,96,159,37390
Audi,A6 3.0 4dr,Sedan,Europe,Front,3,6,220,20,27,3561,109,192,36640
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,1.8,4,170,23,30,3638,105,180,35940
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,1.8,4,180,20,28,3131,95,159,35940
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,3,6,220,18,25,3627,104,179,34480
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,3,6,220,17,26,3583,104,179,33430
Audi,A4 3.0 4dr,Sedan,Europe,Front,3,6,220,20,28,3462,104,179,31840
Audi,A4 1.8T 4dr,Sedan,Europe,Front,1.8,4,170,22,31,3252,104,179,25940
BMW,745Li 4dr,Sedan,Europe,Rear,4.4,8,325,18,26,4464,123,204,73195
BMW,745i 4dr,Sedan,Europe,Rear,4.4,8,325,18,26,4376,118,198,69195
BMW,M3 convertible 2dr,Sports,Europe,Rear,3.2,6,333,16,23,3781,108,177,56595
BMW,545iA 4dr,Sedan,Europe,Rear,4.4,8,325,18,26,3814,114,191,54995
BMW,X5 4.4i,SUV,Europe,All,4.4,8,325,16,22,4824,111,184,52195
BMW,M3 coupe 2dr,Sports,Europe,Rear,3.2,6,333,16,24,3415,108,177,48195
BMW,530i 4dr,Sedan,Europe,Rear,3,6,225,20,30,3472,114,191,44995
BMW,330Ci convertible 2dr,Sedan,Europe,Rear,3,6,225,19,28,3616,107,177,44295
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,3,6,225,21,29,2998,98,161,41045
BMW,525i 4dr,Sedan,Europe,Rear,2.5,6,184,19,28,3428,114,191,39995
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,2.5,6,184,19,27,3560,107,177,37995
BMW,330xi 4dr,Sedan,Europe,All,3,6,225,20,29,3483,107,176,37245
BMW,X3 3.0i,SUV,Europe,All,3,6,225,16,23,4023,110,180,37000
BMW,330Ci 2dr,Sedan,Europe,Rear,3,6,225,20,30,3285,107,176,36995
BMW,330i 4dr,Sedan,Europe,Rear,3,6,225,20,30,3285,107,176,35495
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,2.5,6,184,20,28,2932,98,161,33895
BMW,325xi Sport,Wagon,Europe,All,2.5,6,184,19,26,3594,107,176,32845
BMW,325Ci 2dr,Sedan,Europe,Rear,2.5,6,184,20,29,3197,107,177,30795
BMW,325xi 4dr,Sedan,Europe,All,2.5,6,184,19,27,3461,107,176,30245
BMW,325i 4dr,Sedan,Europe,Rear,2.5,6,184,20,29,3219,107,176,28495
Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,3.8,6,240,18,28,3909,114,207,40720
Buick,Rainier,SUV,USA,All,4.2,6,275,15,21,4600,113,193,37895
Buick,Park Avenue 4dr,Sedan,USA,Front,3.8,6,205,20,29,3778,114,207,35545
Buick,LeSabre Limited 4dr,Sedan,USA,Front,3.8,6,205,20,29,3591,112,200,32245
